run_id,start,end,return_pct,max_drawdown_pct,win_rate_pct,sharpe_ratio,profit_factor,trade_count,commission_bps,slippage_bps,min_atr,max_consecutive_losses,sell_overbought_rsi,take_profit_pnl_pct,take_profit_rsi,scenario
20260331_150041,2018-01-01,2025-12-31,55.119893908564286,-26.977597462059478,49.67741935483871,0.38757229963053924,2.1298831114491663,155,5.0,5.0,0.005,5,88.0,7.0,58.0,baseline
20260331_152514,2018-01-01,2025-12-31,40.14809263600465,-16.79131174989468,43.04635761589404,0.4186797453750239,2.252376360552126,151,5.0,20.0,0.005,5,88.0,7.0,58.0,stress_slippage_20bps
20260331_152519,2018-01-01,2025-12-31,55.11989390856436,-26.977597462059478,49.67741935483871,0.38757229963053924,2.129883111449166,155,5.0,5.0,0.005,999,88.0,7.0,58.0,ablation_no_streak_cap
20260331_152524,2018-01-01,2025-12-31,55.11989390856436,-26.977597462059478,49.67741935483871,0.38757229963053924,2.129883111449166,155,5.0,5.0,0.0,5,88.0,7.0,58.0,ablation_min_atr_0
20260331_152529,2018-01-01,2025-12-31,55.11989390856436,-26.977597462059478,49.67741935483871,0.38757229963053924,2.129883111449166,155,5.0,5.0,0.005,5,100.0,7.0,58.0,ablation_disable_overbought_sell
20260331_152534,2018-01-01,2025-12-31,72.79499685376905,-40.59294082201479,62.5,0.23213547163366707,14.424569637129892,24,5.0,5.0,0.005,5,88.0,100.0,100.0,ablation_disable_take_profit
20260331_152536,2021-01-01,2022-12-31,1.6340628276899372,-7.1562455127248015,46.15384615384615,0.13158041179611984,1.7493399922612556,26,5.0,5.0,0.005,5,88.0,7.0,58.0,edge_2022_focus
20260331_152537,2020-01-01,2021-12-31,6.938571522059385,-27.007382501956954,54.761904761904766,0.14628502248162212,1.3004012698603944,42,5.0,5.0,0.005,5,88.0,7.0,58.0,walk_forward_2020_2021
20260331_152539,2022-01-01,2023-12-31,-13.479015933217466,-22.849642219337596,33.33333333333333,-0.4679718547155876,0.053642222054119844,6,5.0,5.0,0.005,5,88.0,7.0,58.0,walk_forward_2022_2023
20260331_152540,2023-01-01,2024-12-31,-3.377622764914326,-9.297188403548207,27.27272727272727,-0.2583954177680775,4.811006042874368,44,5.0,5.0,0.005,5,88.0,7.0,58.0,walk_forward_2023_2024
20260331_152542,2024-01-01,2025-12-31,-1.7776642660864164,-8.137061575408344,48.275862068965516,-0.13804030179704996,2.986739593391024,58,5.0,5.0,0.005,5,88.0,7.0,58.0,walk_forward_2024_2025
