test_start,test_end,Return [%],Max Drawdown [%],Profit Factor,Sharpe Ratio,Calmar Ratio,Total Trades
2020-01-01,2020-12-30,15.013,6.504,4.521,1.166,2.308,10
2020-06-29,2021-06-28,18.274,13.225,3.022,1.036,1.382,11
2020-12-26,2021-12-25,-1.512,6.093,0.642,-0.257,-0.248,7
2021-06-24,2022-06-23,-0.867,0.938,0.0,-1.226,-0.925,2
2021-12-21,2022-12-20,-0.39,3.099,0.781,-0.093,-0.126,5
2022-06-19,2023-06-18,-0.131,2.353,0.931,-0.025,-0.056,8
2022-12-16,2023-12-15,1.978,2.122,4.685,0.621,0.933,6
2023-06-14,2024-06-12,-4.689,5.42,0.182,-1.21,-0.865,11
2023-12-11,2024-12-09,33.685,7.292,0.181,1.951,4.619,6
2024-06-08,2025-06-07,34.832,8.057,5.431,1.868,4.323,8
2024-12-05,2025-12-04,0.94,3.95,1.286,0.253,0.238,7
