test_start,test_end,bars,Total Return [%],Benchmark Return [%],Max Drawdown [%],Total Trades,Win Rate [%],Profit Factor,Sharpe Ratio,Calmar Ratio,Expectancy
2025-04-03 00:00:00+00:00,2025-07-01 20:00:00+00:00,540,1.1402377751881523,6.832142258910978,1.1861701491971781,24,33.33333333333333,1.4147449459061432,1.1702223250146273,3.9669566447739113,47.509907299506324
2025-05-03 00:00:00+00:00,2025-07-31 20:00:00+00:00,540,2.8498136053473044,38.28980362999841,1.1861701491971801,22,45.45454545454545,2.6111028604728492,3.068460564525039,10.176179524830873,129.5369820612412
2025-06-02 00:00:00+00:00,2025-08-30 20:00:00+00:00,540,4.153265321156052,28.968467996365057,0.5213973459453461,23,52.17391304347826,3.4417101272005977,4.19680513584056,34.41392778251331,180.57675309374162
2025-07-02 00:00:00+00:00,2025-09-29 20:00:00+00:00,540,2.32791032120228,33.47152017862032,0.6751494894229776,16,50.0,2.822065234042199,2.8115194152379415,14.488834392676628,145.49439507514234
2025-08-01 00:00:00+00:00,2025-10-30 04:00:00+00:00,540,0.6443522639671846,-14.756261142430594,0.6788076701976401,15,26.666666666666668,1.4547320982801364,1.2147999550185693,3.8877658586199115,42.95681759781226
2025-08-31 00:00:00+00:00,2025-11-29 20:00:00+00:00,540,-0.8429880426051641,-22.136533740875752,1.4969533835953348,16,12.5,0.5904218019524664,-1.4995431199039584,-2.254584649634814,-52.686752662822656
2025-09-30 00:00:00+00:00,2025-12-29 20:00:00+00:00,540,-1.1223802651207733,-35.77680150539808,2.042397314804274,13,7.6923076923076925,0.3509378759855187,-2.354428939176725,-2.190769049175719,-86.33694347082867
2025-10-30 08:00:00+00:00,2026-01-28 20:00:00+00:00,540,-0.042311900080669144,-25.772629371309552,1.322321103151489,14,21.428571428571427,0.9825003891650523,-0.047437508435834747,-0.12968662952651522,-3.0222785771905762
2025-11-30 00:00:00+00:00,2026-02-27 20:00:00+00:00,540,1.079683387810621,-38.679133389606676,1.156738066955182,12,33.33333333333333,1.4296012121644448,1.2712131067216939,3.848303753592464,89.9736156508848
2025-12-30 00:00:00+00:00,2026-03-29 20:00:00+00:00,540,0.25711979929113293,-28.759736171991225,1.314581832486477,14,35.714285714285715,1.1289970083598975,0.32736289865438667,0.7963498582033471,18.365699949366444
