sl_stop,tp_stop,windows,positive_windows,negative_windows,avg_oos_return_pct,median_oos_return_pct,avg_oos_drawdown_pct,avg_oos_sharpe,avg_oos_profit_factor,avg_oos_trades,robustness_score
0.012,0.05,10,7,3,1.0444702266156118,0.8620178258889027,1.158068650495308,1.01589738334963,1.6226813553529305,16.9,0.4416119960071012
0.015,0.05,10,7,3,0.9930734208227943,0.9189855733737003,1.186762154780507,0.9391984293385349,1.5736123455992694,16.5,0.39846085588082925
0.018,0.05,10,7,3,0.9347075289516965,0.782447686493354,1.21104676479139,0.8365344717130376,1.524149494355967,16.5,0.35153357906834
0.022,0.05,10,7,3,0.9148766887706007,0.7557694844169973,1.2192152311144548,0.8093064396798388,1.498335773693841,16.5,0.3356098743608067
0.015,0.08,10,7,3,0.870489418248464,0.6139593941383619,1.200415864255536,0.7490047672733986,1.7658656892101425,14.6,0.30923862671004076
0.012,0.08,10,7,3,0.8161674211212346,0.5570599721098852,1.1882166258754474,0.6971371659106145,1.6078795659623595,15.2,0.27426303831600235
0.018,0.08,10,7,3,0.8140281709347825,0.47775581651714494,1.222695240660633,0.6559208337106848,1.7076095883122915,14.6,0.2641459094891895
0.022,0.08,10,7,3,0.7359719440860433,0.4511422370673408,1.2341010581644123,0.5603454668828203,1.5511795081492141,14.6,0.20665509631912715
0.012,0.06,10,7,3,0.6932217394837402,0.6961551190124128,1.1882166258754432,0.6315275020091151,1.562385730336331,15.6,0.18820106116975732
0.015,0.12,10,7,3,0.7826501718114833,0.3910637525988859,1.4860782446554768,0.6123059614790088,1.888179172277119,13.4,0.1763355591041691
0.012,0.12,10,7,3,0.7734396073125964,0.38726609273233226,1.4785485132418559,0.6076931448982169,1.7915221192004052,13.8,0.17177059680835344
0.018,0.12,10,7,3,0.7261874369055127,0.25487332512939065,1.5089286411417855,0.5198743019493284,1.826852208148202,13.4,0.13109904554841245
0.022,0.12,10,7,3,0.7063654430944954,0.22825974567958657,1.5170893835001678,0.49528544973348837,1.7776254187568505,13.4,0.11518346429110482
0.015,0.06,10,6,4,0.6440262733504967,0.8213525133075701,1.2028264369244916,0.561872679273422,1.5147380138040059,15.2,0.08570915477917507
0.026,0.05,10,6,4,0.6898904079306012,0.4307379879308201,1.4418926191188377,0.5271036305390004,1.4010330095670545,16.4,0.05346108997865129
0.018,0.06,10,6,4,0.5875752781285325,0.6850731624325982,1.2251058133295898,0.46662326117559816,1.45938072438762,15.2,0.04626871354472206
0.022,0.06,10,6,4,0.567860302178054,0.6584466022811886,1.2332742796526581,0.44053307029038064,1.4273376253168706,15.2,0.03239761139366787
0.026,0.12,10,7,3,0.5883197082012892,0.1707752025748896,1.6450934434023021,0.34297567018870645,1.687690389415668,13.3,0.0005504348903269118
0.015,0.1,10,5,5,0.6683968925310684,0.1980323136039051,1.4629101121690944,0.4959311615781326,1.7983885181458663,13.7,-0.03152908177673941
0.012,0.1,10,5,5,0.6590505696512584,0.19380694616235633,1.446896191143547,0.4938531984511103,1.7023664763147166,14.1,-0.03219876296025753
0.026,0.08,10,6,4,0.5117987444401328,0.12722597689879966,1.456778446168795,0.2791543568744091,1.4407856874462686,14.5,-0.057115364878119024
0.018,0.1,10,5,5,0.6119468977272172,0.06185327439077537,1.485186279084681,0.40342086803931226,1.7379517130141113,13.7,-0.06532312090756165
0.022,0.1,10,5,5,0.5915534155923228,0.03523969494097129,1.4933470214430629,0.37814296374234146,1.690086208809132,13.7,-0.07756004756460433
0.026,0.06,10,6,4,0.3430705164624178,0.33351525062770904,1.4559516676570363,0.15906005712848206,1.320621451518886,15.1,-0.15814560703680838
0.026,0.1,10,5,5,0.47355496430215727,-0.022222201130845845,1.6207814485440355,0.22569711092457742,1.6034178854105068,13.6,-0.16841787998493024
