run_id,start,end,return_pct,max_drawdown_pct,win_rate_pct,sharpe_ratio,profit_factor,trade_count,commission_bps,slippage_bps,min_atr,max_consecutive_losses,sell_overbought_rsi,take_profit_pnl_pct,take_profit_rsi
20260319_131152,2018-01-01,2025-12-31,22.955588869605826,-10.242933378736229,45.45454545454545,0.5407587784107758,1.4430080477722953,132,5.0,5.0,3.5,5,88.0,7.0,58.0
20260319_133046,2018-01-01,2025-12-31,12.381507961482843,-11.605251693564,31.782945736434108,0.310843351461887,1.1218120783806385,129,5.0,20.0,3.5,5,88.0,7.0,58.0
20260319_133052,2018-01-01,2025-12-31,22.955588869605855,-10.242933378736229,45.45454545454545,0.5407587784107758,1.443008047772295,132,5.0,5.0,3.5,999,88.0,7.0,58.0
20260319_133058,2018-01-01,2025-12-31,4.408198041778495,-10.048359350762459,45.20547945205479,0.14668159044613513,1.2642316919041854,146,5.0,5.0,0.0,5,88.0,7.0,58.0
20260319_133239,2018-01-01,2025-12-31,12.381507961482843,-11.605251693564,31.782945736434108,0.310843351461887,1.1218120783806385,129,5.0,20.0,3.5,5,88.0,7.0,58.0
20260319_133653,2018-01-01,2025-12-31,12.381507961482843,-11.605251693564,31.782945736434108,0.310843351461887,1.1218120783806385,129,5.0,20.0,3.5,5,88.0,7.0,58.0
20260319_133656,2018-01-01,2025-12-31,22.955588869605855,-10.242933378736229,45.45454545454545,0.5407587784107758,1.443008047772295,132,5.0,5.0,3.5,999,88.0,7.0,58.0
20260319_133700,2018-01-01,2025-12-31,4.408198041778495,-10.048359350762459,45.20547945205479,0.14668159044613513,1.2642316919041854,146,5.0,5.0,0.0,5,88.0,7.0,58.0
20260319_133704,2018-01-01,2025-12-31,22.955588869605855,-10.242933378736229,45.45454545454545,0.5407587784107758,1.443008047772295,132,5.0,5.0,3.5,5,100.0,7.0,58.0
20260319_133707,2018-01-01,2025-12-31,74.91716434856414,-17.10133864929253,100.0,0.6647259582584426,,1,5.0,5.0,3.5,5,88.0,100.0,100.0
20260319_133708,2021-01-01,2022-12-31,-2.2155975372924877,-2.8808795513481034,36.84210526315789,-0.9391247267626774,0.5858777413668588,19,5.0,5.0,3.5,5,88.0,7.0,58.0
20260319_133710,2020-01-01,2021-12-31,7.8550819299774,-2.0860190095057907,46.666666666666664,1.227070158889003,2.3736756654181175,30,5.0,5.0,3.5,5,88.0,7.0,58.0
20260319_133711,2022-01-01,2023-12-31,2.7605779357299327,-2.9123594374318107,48.38709677419355,0.5848636612035953,1.927872306680412,31,5.0,5.0,3.5,5,88.0,7.0,58.0
20260319_133712,2023-01-01,2024-12-31,1.1624957218322671,-3.3058108294306554,30.434782608695656,0.21771668601652397,0.908647821156604,23,5.0,5.0,3.5,5,88.0,7.0,58.0
20260319_133713,2024-01-01,2025-12-31,-6.2932662272949385,-9.475710822414495,0.0,-0.9438750215101793,0.0,2,5.0,5.0,3.5,5,88.0,7.0,58.0
